epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20.9364,1.30569,1.22031,1.06846,0.5905,0.74465,0.70825,0.43536,1.45381,1.27322,1.18944,0.000371313,0.000371313,0.000371313
43,21.417,1.23779,1.15706,1.04137,0.69713,0.69873,0.71571,0.45003,1.40876,1.21925,1.1593,0.000365125,0.000365125,0.000365125
44,21.8747,1.26169,1.18318,1.08404,0.66253,0.69041,0.73156,0.45497,1.42946,1.21594,1.16831,0.000358938,0.000358938,0.000358938
45,22.3417,1.23934,1.11205,1.05509,0.60067,0.74389,0.7258,0.46506,1.45791,1.22715,1.18597,0.00035275,0.00035275,0.00035275
46,22.8079,1.23811,1.09948,1.05151,0.59986,0.72314,0.72175,0.45117,1.46177,1.20768,1.18715,0.000346563,0.000346563,0.000346563
47,23.2777,1.19675,1.09344,1.03034,0.59646,0.68799,0.70849,0.43928,1.45388,1.17995,1.18293,0.000340375,0.000340375,0.000340375
48,23.7564,1.21934,1.06995,1.03585,0.64202,0.7315,0.73042,0.45794,1.43706,1.14481,1.17586,0.000334188,0.000334188,0.000334188
49,24.2146,1.22165,1.02282,1.06021,0.65078,0.72061,0.73247,0.45648,1.44732,1.13257,1.18098,0.000328,0.000328,0.000328
50,24.6857,1.16469,1.05426,1.0149,0.69622,0.76435,0.76616,0.45518,1.48843,1.13268,1.20183,0.000321812,0.000321812,0.000321812
51,25.1645,1.18448,1.06186,1.04496,0.69818,0.79506,0.78024,0.45814,1.51361,1.11234,1.21585,0.000315625,0.000315625,0.000315625
52,25.6221,1.20747,1.0247,1.01127,0.70889,0.79306,0.79002,0.48299,1.48141,1.07779,1.19695,0.000309437,0.000309437,0.000309437
53,26.0934,1.18485,1.03033,1.02908,0.70926,0.78517,0.80092,0.49704,1.44801,1.05332,1.17605,0.00030325,0.00030325,0.00030325
54,26.5676,1.13591,1.00019,1.01339,0.70291,0.77379,0.80256,0.49993,1.43725,1.04358,1.17162,0.000297063,0.000297063,0.000297063
55,27.0273,1.17254,0.99234,1.02803,0.6965,0.76875,0.80161,0.49304,1.47864,1.05999,1.18882,0.000290875,0.000290875,0.000290875
56,27.4909,1.16245,0.98399,1.00996,0.69901,0.73459,0.80154,0.4791,1.52612,1.08411,1.21762,0.000284688,0.000284688,0.000284688
57,27.9565,1.13517,0.92321,1.03613,0.8273,0.66046,0.80253,0.48298,1.52765,1.09951,1.2224,0.0002785,0.0002785,0.0002785
58,28.4107,1.16154,0.96408,1.03264,0.82635,0.67679,0.80913,0.49945,1.48671,1.08508,1.20157,0.000272313,0.000272313,0.000272313
59,28.8551,1.18241,0.94184,1.03386,0.77125,0.7075,0.80337,0.50477,1.44696,1.07491,1.18576,0.000266125,0.000266125,0.000266125
60,29.3314,1.17979,0.95691,1.02551,0.76242,0.75445,0.80017,0.4998,1.45087,1.10691,1.19054,0.000259938,0.000259938,0.000259938
61,29.8141,1.16729,0.92706,1.03411,0.74883,0.71921,0.77493,0.47996,1.54023,1.18908,1.23288,0.00025375,0.00025375,0.00025375
62,30.271,1.1243,0.89236,1.01177,0.71676,0.71692,0.77119,0.46517,1.58849,1.21566,1.2555,0.000247563,0.000247563,0.000247563
63,30.7141,1.11176,0.9317,1.00169,0.69987,0.71811,0.76865,0.47142,1.50479,1.16828,1.21455,0.000241375,0.000241375,0.000241375
64,31.1689,1.13929,0.93042,1.0119,0.71173,0.7572,0.76498,0.47072,1.44758,1.12944,1.17536,0.000235188,0.000235188,0.000235188
65,31.6251,1.14771,0.92161,0.99167,0.72141,0.75687,0.76276,0.46759,1.42641,1.11964,1.16143,0.000229,0.000229,0.000229
66,32.0568,1.13187,0.88178,0.99996,0.71599,0.75547,0.75745,0.46533,1.42889,1.14109,1.16605,0.000222813,0.000222813,0.000222813
67,32.508,1.16896,0.9113,1.02947,0.70213,0.737,0.75357,0.4554,1.42976,1.13343,1.1661,0.000216625,0.000216625,0.000216625
68,32.9665,1.13744,0.8994,1.01762,0.67949,0.72096,0.73266,0.45491,1.44825,1.11539,1.17569,0.000210437,0.000210437,0.000210437
69,33.3883,1.07823,0.84914,1.02434,0.71668,0.71493,0.76971,0.47332,1.49236,1.08974,1.20516,0.00020425,0.00020425,0.00020425
70,33.8415,1.10174,0.82757,1.01851,0.78591,0.74227,0.79132,0.47421,1.50933,1.04305,1.22031,0.000198063,0.000198063,0.000198063
71,34.3009,1.1938,0.88403,1.01226,0.80742,0.77101,0.80407,0.49378,1.48929,0.99825,1.21015,0.000191875,0.000191875,0.000191875
72,34.7288,1.14811,0.88141,1.02904,0.84189,0.77797,0.82349,0.50854,1.45922,0.97226,1.19055,0.000185688,0.000185688,0.000185688
73,35.1756,1.13542,0.89098,0.97309,0.83775,0.7561,0.82951,0.50846,1.47777,0.95915,1.20359,0.0001795,0.0001795,0.0001795
74,35.615,1.10675,0.92593,0.9922,0.82985,0.80342,0.85187,0.50482,1.49259,0.95158,1.21519,0.000173313,0.000173313,0.000173313
75,36.0508,1.11989,0.84361,1.00842,0.82758,0.78578,0.85545,0.5183,1.48004,0.96009,1.20415,0.000167125,0.000167125,0.000167125
76,36.5095,1.13335,0.88897,0.99496,0.81614,0.7973,0.85307,0.52657,1.43467,0.97293,1.17447,0.000160938,0.000160938,0.000160938
77,36.9414,1.07738,0.86206,0.98513,0.83544,0.78814,0.84923,0.52236,1.4188,0.97912,1.16364,0.00015475,0.00015475,0.00015475
78,37.3932,1.07039,0.80974,1.00426,0.80757,0.75782,0.82142,0.51475,1.44918,0.98394,1.18064,0.000148563,0.000148563,0.000148563
79,37.8263,1.08507,0.82861,0.99426,0.81265,0.77578,0.82058,0.50728,1.4738,0.96996,1.19551,0.000142375,0.000142375,0.000142375
80,38.2627,1.08905,0.84767,0.99416,0.81562,0.78394,0.82391,0.51447,1.47072,0.94689,1.1969,0.000136187,0.000136187,0.000136187
81,38.691,1.138,0.8482,0.9925,0.83211,0.79077,0.84666,0.52117,1.45191,0.92382,1.19321,0.00013,0.00013,0.00013
82,39.1426,1.11352,0.82718,0.99425,0.89386,0.76446,0.85496,0.52662,1.43947,0.91435,1.19093,0.000123812,0.000123812,0.000123812
83,39.6037,1.09488,0.82465,1.00687,0.90337,0.76498,0.86679,0.52319,1.4435,0.90107,1.19311,0.000117625,0.000117625,0.000117625
84,40.0583,1.06657,0.84222,0.9752,0.81538,0.82947,0.86777,0.51872,1.46035,0.89806,1.19625,0.000111438,0.000111438,0.000111438
85,40.4891,1.07809,0.82778,0.98699,0.81909,0.828,0.86648,0.51657,1.46014,0.88965,1.19241,0.00010525,0.00010525,0.00010525
86,40.9312,1.05363,0.80373,0.98136,0.82275,0.84015,0.87488,0.53212,1.44923,0.86984,1.18413,9.90625e-05,9.90625e-05,9.90625e-05
87,41.3665,1.05055,0.82686,0.9573,0.90285,0.75731,0.87033,0.52675,1.44165,0.8658,1.17808,9.2875e-05,9.2875e-05,9.2875e-05
88,41.8269,1.06045,0.83204,0.96742,0.89971,0.75804,0.86943,0.53739,1.433,0.86523,1.17824,8.66875e-05,8.66875e-05,8.66875e-05
89,42.2702,1.01275,0.78521,0.97452,0.87403,0.74712,0.85629,0.53398,1.42915,0.85706,1.18053,8.05e-05,8.05e-05,8.05e-05
90,42.7113,1.03926,0.79532,0.97893,0.80378,0.80269,0.85509,0.53161,1.42887,0.84668,1.18471,7.43125e-05,7.43125e-05,7.43125e-05
91,51.8238,1.00372,0.75944,0.97936,0.79551,0.80034,0.85517,0.53025,1.43974,0.84926,1.19129,6.8125e-05,6.8125e-05,6.8125e-05
92,52.2472,1.01001,0.76479,0.9952,0.82777,0.75554,0.84019,0.52982,1.44735,0.85166,1.19375,6.19375e-05,6.19375e-05,6.19375e-05
93,52.6902,1.03528,0.77142,1.0007,0.84004,0.76185,0.84115,0.5344,1.45133,0.86455,1.19325,5.575e-05,5.575e-05,5.575e-05
94,53.1305,0.98264,0.70955,0.9896,0.84219,0.76894,0.84038,0.53111,1.44596,0.86972,1.18781,4.95625e-05,4.95625e-05,4.95625e-05
95,53.5717,0.99369,0.70723,0.9949,0.86318,0.76899,0.84175,0.53536,1.43699,0.87462,1.18195,4.3375e-05,4.3375e-05,4.3375e-05
96,53.9852,1.00712,0.73866,1.0183,0.86758,0.77599,0.85086,0.54223,1.4334,0.88096,1.18064,3.71875e-05,3.71875e-05,3.71875e-05
97,54.4326,0.99766,0.73984,1.01074,0.87381,0.755,0.85128,0.54224,1.43256,0.87959,1.17983,3.1e-05,3.1e-05,3.1e-05
98,54.8768,0.99962,0.73057,0.97617,0.85685,0.74191,0.8449,0.53977,1.43179,0.88104,1.18002,2.48125e-05,2.48125e-05,2.48125e-05
99,55.329,0.98108,0.71512,0.99025,0.85551,0.74225,0.84186,0.53538,1.42954,0.87144,1.17918,1.8625e-05,1.8625e-05,1.8625e-05
100,55.7838,0.99592,0.71402,0.97925,0.85736,0.74157,0.84116,0.53393,1.42795,0.86569,1.17954,1.24375e-05,1.24375e-05,1.24375e-05
